,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
11,King's Blu Jam Cafe,"4711 Louetta Rd, Spring, TX 77388-4351",TX,30.0413382,-95.4858508,Cafe,5,16,Had a family member tell about this place. They were impressed and so were we. Almost didn't get in because of limited hours. (Tues-Fri 7am-2:30 and Sat-Sun 7am-3:00 pm.) Not a large place. 10 or so tables and about 7 booths. Bar sits about 6....More,+1 713-389-5555,https://www.tripadvisor.com//Restaurant_Review-g56701-d15125070-Reviews-King_s_Blu_Jam_Cafe-Spring_Texas.html,https://img1.wsimg.com/blobby/go/7d01b5de-2694-4b3f-a9f3-325d6b112d31/downloads/1cvmr3b83_311130.jpg,$$ - $$$
12,Boudro's,"421 E Commerce St, San Antonio, TX 78205-2814",TX,29.4240793,-98.488341,American,4.5,"4,620","Had been here roughly 10 years ago on vacation and it was top notch. Visited again recently and it seems the place has slipped in quality. There was an issue at our table and the server addressed it to the best of their ability. However,...More",+1 210-224-8484,https://www.tripadvisor.com//Restaurant_Review-g60956-d437240-Reviews-Boudro_s-San_Antonio_Texas.html,Check The Website for a Menu,$$ - $$$
13,Taste of Texas Restaurant,"10505 Katy Fwy, Houston, TX 77024-1001",TX,29.7828358,-95.5568879,American,4.5,"3,807",Enjoyed a great dinnEnjoyed a great dinner at this restaurant. I had a steak and it was really good. The service is awesome too! er at this restaurant. I had a steak and my friend had a sa,+1 713-932-6901,https://www.tripadvisor.com//Restaurant_Review-g56003-d484555-Reviews-Taste_of_Texas_Restaurant-Houston_Texas.html,Check The Website for a Menu,$$$$
14,Moonshine Patio Bar & Grill,"303 Red River St, Austin, TX 78701-4130",TX,30.2640747,-97.7379399,American,4.5,"2,987",Dinner on the heated patio was AMAZING! The menu selection offered something for every taste bud at our table.. serving sizes were perfect (OK the mac&cheese was large enough we needed a doggie bag) and very nicely prepared. Drinks were creative and very tasty as...More,+1 512-236-9599,https://www.tripadvisor.com//Restaurant_Review-g30196-d469589-Reviews-Moonshine_Patio_Bar_Grill-Austin_Texas.html,https://moonshinegrill.com/wp-content/uploads/2019/03/Moonshine-Menu-Fall-2018.pdf,$$ - $$$
15,Eddie V's Prime Seafood,"301 E 5th St, Austin, TX 78701-3615",TX,30.2662563,-97.7406372,American,4.5,"2,282",Our hotel had called and made our reservation for us. We were celebrating our anniversary and we were given a table out of traffic and were surprised with rose petals on table. Our server Aaron was excellent. He did not rush us and gave us...More,+1 512-472-1860,https://www.tripadvisor.com//Restaurant_Review-g30196-d469572-Reviews-Eddie_V_s_Prime_Seafood-Austin_Texas.html,Check The Website for a Menu,$$$$
16,Pappas Bros. Steakhouse,"5839 Westheimer Rd, Houston, TX 77057",TX,29.7372677,-95.4816353,American,4.5,"2,204","I took two international clients to a celebration dinner. Our reservation was for 7:30, we weren't seated until AFTER 9:00 pm. Our ""dinner / midnight snack"" didn't arrive until nearly 10 !!!
Who eats steak that late ?
A total waste of my time and...More",+1 713-780-7352,https://www.tripadvisor.com//Restaurant_Review-g56003-d484925-Reviews-Pappas_Bros_Steakhouse-Houston_Texas.html,Check The Website for a Menu,$$$$
17,Peli Peli,"110 Vintage Park Blvd, Houston, TX 77070-4047",TX,29.9944801,-95.5718195,International,4.5,"1,922",We come to this area often for business but had never tried this restaurant. Never having tried South African food we decided to give it a shot. We were all amazed. We tried the sampler as well as several different dishes to get an array...More,+1 281-257-9500,https://www.tripadvisor.com//Restaurant_Review-g56003-d1497038-Reviews-Peli_Peli-Houston_Texas.html,https://docs.wixstatic.com/ugd/93fbbb_b84fce146379428983c78d4c3b533654.pdf?index=true,$$$$
18,Home Slice Pizza,"1415 S Congress Ave, Austin, TX 78704-2434",TX,30.2492157,-97.7495005,Italian,4.5,"1,843",Took a break from BBQ and tacos at Homeslice. We were really pleasantly surprised at the quality of the pizza! Wonderful all around experience,+1 512-444-7437,https://www.tripadvisor.com//Restaurant_Review-g30196-d781751-Reviews-Home_Slice_Pizza-Austin_Texas.html,Check The Website for a Menu,$
19,Bohanan's Prime Steak and Seafood,"219 E Houston St, San Antonio, TX 78205-1854",TX,29.4266816,-98.4903842,American,4.5,"1,732",We enjoyed this entire experience from start to finish! The service was amazing by Rich (and Garrettt)! Rich selected the perfect cocktails 🍸 for us! The Texas heirloom salad & shrimp 🍤 were amazing! My husband had the tortilla soup 🥣 along with steak &...More,+1 210-472-2600,https://www.tripadvisor.com//Restaurant_Review-g60956-d437290-Reviews-Bohanan_s_Prime_Steak_and_Seafood-San_Antonio_Texas.html,Check The Website for a Menu,$$$$
20,Franklin Barbecue,"900 E 11th St, Austin, TX 78702-1905",TX,30.2701348,-97.7312949,American,4.5,"1,657","I was in Austin for a business meeting with 8 other co-workers. Someone found a website to pre-order Franklin BBQ, which we did 6 weeks prior to our trip.
Every other BBQ I've had was a pretender, a sham, a fake. Franklin is the real...More",+1 512-653-1187,https://www.tripadvisor.com//Restaurant_Review-g30196-d1899234-Reviews-Franklin_Barbecue-Austin_Texas.html,Check The Website for a Menu,$$ - $$$
