,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
11,Bean's & Lager,"3301 36th Ave, Long Island City, NY 11106-1941",NY,40.7558518,-73.9278648,American,5,12,Nothing Special. Visiting from out of town and did a review search for local restaurants. Burgers were good but service was lousy. Made an open table reservation during non busy times and expected much better service. Non attentive servers who couldn’t even remember who ordered...More,+1 718-392-5777,https://www.tripadvisor.com//Restaurant_Review-g48080-d13353616-Reviews-Bean_s_Lager-Long_Island_City_Queens_New_York.html,Check The Website for a Menu,$$ - $$$
12,Very Juice,"422 Avenue P, Brooklyn, NY 11223-1935",NY,40.6087917,-73.9717637,,5,1,"I travel a lot but couldn’t find better Peanut Butter açaí anywhere else. Must have items: Creamy Green Smoothie, Cashew Cheese or Pesto Panini. I mean food is always great here. This review comes from real paying customer.",+1 718-676-9400,https://www.tripadvisor.com//Restaurant_Review-g60827-d15175217-Reviews-Very_Juice-Brooklyn_New_York.html,Check The Website for a Menu,Not Specified
13,The River Cafe,"1 Water St, Brooklyn, NY 11201-1335",NY,40.7038447,-73.994803,American,4.5,"4,055","This is one of those iconic restaurants you see in movies. The view is a showstopper and the restaurant itself is beautiful. We came here right after getting engaged and it definitely wowed us. The service is efficient, courteous, and personal even though they turn...More",+1 718-522-5200,https://www.tripadvisor.com//Restaurant_Review-g60827-d482173-Reviews-The_River_Cafe-Brooklyn_New_York.html,https://rivercafe.com/menus/,$$$$
14,Club A Steakhouse,"240 E 58th Street, New York City, NY 10022-2001",NY,40.7600574,-73.9655842,American,4.5,"3,978",Excellent filet mignon& beautiful ambiance. The service was great and dessert was a delicious. I would definitely return.,+1 212-688-4190,https://www.tripadvisor.com//Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,$$$$
15,Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",NY,40.7615691,-73.9818048,French,4.5,"3,444","Had the Valentine’s tasting menu and the overall experience was amazing but not flawless.

Made reservation at 2:00. Got there ~1:55 and we have to stand awkwardly for ~20 min in a tiny space next to a bar watching other guests eating in the bar...More",+1 212-554-1515,https://www.tripadvisor.com//Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html,Check The Website for a Menu,$$$$
16,Daniel,"60 East 65th Street, New York City, NY 10065-7056",NY,40.7667727,-73.9676284,French,4.5,"3,274","Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food is amazing.",212 288 0033,https://www.tripadvisor.com//Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html,Check The Website for a Menu,$$$$
17,Juliana's Pizza,"19 Old Fulton St, Brooklyn, NY 11201-1322",NY,40.7027359,-73.9934479,Pizza,4.5,"3,095","Went here for dinner after walking across the Brooklyn Bridge. We thought the pizza was excellent. We had to wait a bit for a table but it was worth it. And once we ordered, the food came fast. My son got the spaghetti and meatballs...More",+1 718-596-6700,https://www.tripadvisor.com//Restaurant_Review-g60827-d3741802-Reviews-Juliana_s_Pizza-Brooklyn_New_York.html,http://julianaspizza.com/menus/,$$ - $$$
18,K Rico Steakhouse,"772 9th Ave, New York City, NY 10019-6327",NY,40.7643586,-73.9879915,American,4.5,"3,083",Really enjoyed our meal here. Steak was delicious. Biggest baked potato I’ve ever seen. Lots of different dips and owner was really nice. Introduced himself and had a chat,+1 212-757-9393,https://www.tripadvisor.com//Restaurant_Review-g60763-d7617787-Reviews-K_Rico_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,$$ - $$$
19,Dinosaur Bar-B-Que,"246 W Willow St, Syracuse, NY 13202",NY,43.0526872,-76.1545978,American,4.5,"2,676",We walked in ff the street and were seated right away. The smell of hardwood smoke was prominent. The decor is rustic.I had the ribs and wings combo with mac and cheese and cole slaw. My wife had brisket sandwich with fries. All of the...More,+1 315-476-4937,https://www.tripadvisor.com//Restaurant_Review-g48713-d421559-Reviews-Dinosaur_Bar_B_Que-Syracuse_Finger_Lakes_New_York.html,Check The Website for a Menu,$$ - $$$
20,Piccola Cucina Osteria,"196 Spring St, New York City, NY 10012-3621",NY,40.7250308,-74.0032774,Italian,4.5,"2,617","Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",+1 646-478-7488,https://www.tripadvisor.com//Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,$$ - $$$
