,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
11,Creperie de la Mer,"126 N Bay Ave, Beach Haven, Long Beach Island, NJ 08008-1816",NJ,39.5645594,-74.2397357,Cafe,5,24,"My wife and I usually visit LBI every summer and we never pass up the chance to eat at this magnificent cafe. Thw crepes are delicious. Whether you get sweet or savory, they never disappoint. The family that runs it is always friendly and warm....More",+1 609-709-7444,https://www.tripadvisor.com//Restaurant_Review-g46292-d12705586-Reviews-Creperie_de_la_Mer-Beach_Haven_Long_Beach_Island_New_Jersey.html,Check The Website for a Menu,$$ - $$$
12,Mangia Toscano,"422 Main St, Metuchen, NJ 08840-1834",NJ,40.5421412,-74.3615194,Italian,5,21,My husband and I recently moved from Florence Italy to NJ recently and finding this restaurant was like finding a corner of home. The chef Alberto is a young italian talent from some of the best restaurants in Florence and NYC. His french wife and...More,+1 732-744-0100,https://www.tripadvisor.com//Restaurant_Review-g46616-d11923378-Reviews-Mangia_Toscano-Metuchen_New_Jersey.html,https://www.mangia-toscano.com/menus/#dinner,$$ - $$$
13,Zaytouna Mediterranean Grill,"13 Village Ln, Freehold, NJ 07728-1541",NJ,40.2758971,-74.2329942,Mediterranean,5,15,"The food was really good. If you are looking for a healthy meal just go there. The place is clean and the team are so friendly! 
Highly recommended!",+1 732-490-7755,https://www.tripadvisor.com//Restaurant_Review-g46453-d11725721-Reviews-Zaytouna_Mediterranean_Grill-Freehold_New_Jersey.html,https://www.zaytounagrill.com/cateringmenu,$
14,Aurora Ristorante,"429 Piaget Ave, Clifton, NJ 07011-3000",NJ,40.878749,-74.15343,Italian,5,13,"So glad a friend told us about Aurora, Clifton's best gem! Very extensive menu for such a small restaurant. It's BYOB, which is great! Domenico, Lorenzo and Cristina are all excellent servers. The Veal Osso Bucco, the octupus, pasta, etc. are all delicious, as well...More",+1 973-772-2914,https://www.tripadvisor.com//Restaurant_Review-g46365-d14799668-Reviews-Aurora_Ristorante-Clifton_New_Jersey.html,Check The Website for a Menu,$$ - $$$
15,Carmine's Italian Restaurant - Atlantic City,"2801 Pacific Ave, Atlantic City, NJ 08401-6347",NJ,39.3539088,-74.4457116,Italian,4.5,"1,762","Great dinner experience but pompous manager experience afterwards. Went for dinner on a Tuesday, when departing from our hotel on Thursday we realized we may have left our credit card behind. Before heading home, we decided to stop by to retrieve it. Upon arrival we...More",+1 609-572-9300,https://www.tripadvisor.com//Restaurant_Review-g29750-d617002-Reviews-Carmine_s_Italian_Restaurant_Atlantic_City-Atlantic_City_New_Jersey.html,Check The Website for a Menu,$$ - $$$
16,White House Sub Shop,"2301 Arctic Ave, Atlantic City, NJ 08401-4001",NJ,39.3591696,-74.4406438,American,4.5,"1,669",Had a breakfast sub from here that was fantastic! Quite big! Two people could definitely share one. It was made fresh with real ingredients. Loved all the choices.,+1 609-345-1564,https://www.tripadvisor.com//Restaurant_Review-g29750-d459195-Reviews-White_House_Sub_Shop-Atlantic_City_New_Jersey.html,Check The Website for a Menu,$
17,Dock's Oyster House,"2405 Atlantic Ave, Atlantic City, NJ 08401-6630",NJ,39.3571379,-74.4410446,American,4.5,"1,599",Dock’s Oyster House is a MUST restaurant for dining in AC ! With Valentine’s Day on a Friday night the 123 year old family owned establishment was HOPPING. The valet service took care of our parking. Chris and Demetrius took care of us so fine...More,+1 609-345-0092,https://www.tripadvisor.com//Restaurant_Review-g29750-d491036-Reviews-Dock_s_Oyster_House-Atlantic_City_New_Jersey.html,Check The Website for a Menu,$$$$
18,Erini Restaurant,"1140 River Rd, Ewing, NJ 08628-2106",NJ,40.2726908,-74.8506153,American,4.5,"1,215","Just enjoyed lunch with friends. Food was delicious, nice selection and atmosphere was comfortable & relaxing. Our server, George was the best - so pleasant & attentive. We’ll surely be back.",+1 609-882-0303,https://www.tripadvisor.com//Restaurant_Review-g46428-d1315844-Reviews-Erini_Restaurant-Ewing_New_Jersey.html,Check The Website for a Menu,$$ - $$$
19,Capriccio,"1133 Boardwalk, Atlantic City, NJ 08401-7329",NJ,39.3585983,-74.4220598,Italian,4.5,"1,026",We had dinner at Capriccio's and the meal was delicious and not too expensive for a nice restaurant. The Staff was very professional and wanted to make our experience enjoyable. I'm looking forward to going back there soon.,+1 609-340-6789,https://www.tripadvisor.com//Restaurant_Review-g29750-d523117-Reviews-Capriccio-Atlantic_City_New_Jersey.html,https://resortsac.com/wp-content/uploads/2019/10/2019-10-capriccio-menu.pdf,$$$$
20,Harold's New York Deli Restaurant,"3050 Woodbridge Ave, Edison, NJ 08837-3460",NJ,40.5227544,-74.3364773,American,4.5,"1,021",Overpriced overrated bland tasting food. If you like land food this is the place. Outdated place to eat. The meats they serve have no flavor. Brisket was a 1 on scale of 10. Onions ordered were a 1 on scale of 10. I saw a...More,+1 732-661-9100,https://www.tripadvisor.com//Restaurant_Review-g46410-d1381081-Reviews-Harold_s_New_York_Deli_Restaurant-Edison_New_Jersey.html,http://haroldsfamousdeli.com,$$ - $$$
