,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
18,Spencer's Restaurant,"701 W Baristo Rd, Palm Springs, Greater Palm Springs, CA 92262-6325",CA,33.8190834,-116.5539586,American,4.5,"2,126",,+1 760-327-3446,https://www.tripadvisor.com//Restaurant_Review-g32847-d602274-Reviews-Spencer_s_Restaurant-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu,$$$$
19,Boulevard,"1 Mission St, San Francisco, CA 94105-1209",CA,37.7897684,-122.397597,American,4.5,"1,846",,+1 415-543-6084,https://www.tripadvisor.com//Restaurant_Review-g60713-d353909-Reviews-Boulevard-San_Francisco_California.html,Check The Website for a Menu,$$$$
20,Duke's Huntington Beach,"317 Pacific Coast Hwy, Huntington Beach, CA 92648-5161",CA,33.6565841,-118.0019217,American,4.5,"1,788",,+1 714-374-6446,https://www.tripadvisor.com//Restaurant_Review-g32513-d343900-Reviews-Duke_s_Huntington_Beach-Huntington_Beach_California.html,Check The Website for a Menu,$$ - $$$
21,Fiore Deli of Hoboken,"414 Adams St, Hoboken, NJ 07030-2693",NJ,40.743017,-74.0362361,Italian,5,158,"Special road trip just to eat here and they certainly lived up to all the hype. Mozzarella was none other than amazing. Guys behind the counter were fun, friendly and certainly made us feel welcome from our of town. Loved the food. Be sure to...More",+1 201-659-1655,https://www.tripadvisor.com//Restaurant_Review-g46515-d873710-Reviews-Fiore_Deli_of_Hoboken-Hoboken_New_Jersey.html,Check The Website for a Menu,$
22,Cordi's Italian Gourmet,"2140 Route 88 East, Brick, NJ 08724",NJ,40.0771248,-74.1007339,Italian,5,131,"Cute byob that doesn't know how to use a wine key or how to pour wine. Odd. Food is basic Italian but with a higher price point. If I am paying 42 for an entree then open my wine properly, use a crumber between courses....More",+1 732-892-6734,https://www.tripadvisor.com//Restaurant_Review-g46321-d12050861-Reviews-Cordi_s_Italian_Gourmet-Brick_New_Jersey.html,https://www.cordisitaliangourmet.com/cordis-italian-gourmet-menu,$$ - $$$
23,La Fiamma,"440 Harrison Ave, Harrison, NJ 07029-1781",NJ,40.7470212,-74.1542966,Italian,5,79,This place is not just an Italian Restaurant with red sauce this place has it going on. Everything is prepared with love. The salmon al Fiamma is GREAT! A beautiful mustard cream sauce no over powering hardly taste any mustard but just a wonderful flavor...More,+1 973-483-5455,https://www.tripadvisor.com//Restaurant_Review-g46494-d4915859-Reviews-La_Fiamma-Harrison_New_Jersey.html,Check The Website for a Menu,$$ - $$$
24,Aarzu Modern Indian Bistro,"30 E Main St, Freehold, NJ 07728-2202",NJ,40.2607138,-74.2726992,Indian,5,76,Visited this restaurant for my wife’s birthday dinner. The food was delicious and the service was exceptional. Great BYOB. We shared everything we ordered. Some of the best Indian cuisine in NJ.,+1 732-333-0933,https://www.tripadvisor.com//Restaurant_Review-g46453-d10671580-Reviews-Aarzu_Modern_Indian_Bistro-Freehold_New_Jersey.html,Check The Website for a Menu,$$ - $$$
25,Two Fish BYOB,"26 S. Haddon Ave., Haddonfield, NJ 08033-1860",NJ,39.8973879,-75.0309616,American,5,56,"Chef Michael continues to serve outstanding meals that are professionally served in a wonderful environment. He constantly impresses my wife and me with his combinations of spices, herbs and textures that enhance his beautifully presented seafood dishes. The octopus appetizer we had this past Friday...More",+1 856-428-3474,https://www.tripadvisor.com//Restaurant_Review-g46483-d11652382-Reviews-Two_Fish_BYOB-Haddonfield_New_Jersey.html,http://www.twofishbyob.com/menu,$$ - $$$
26,Kenko Sushi,"200 Main St, Lincoln Park, NJ 07035-3701",NJ,40.9229958,-74.3054275,Japanese,5,55,This is the absolute best place for sushi. You won't be sorry. Everything is delicious and they give you free dessert. It is amazing!,+1 973-633-5498,https://www.tripadvisor.com//Restaurant_Review-g46569-d7376541-Reviews-Kenko_Sushi-Lincoln_Park_Morris_County_New_Jersey.html,Check The Website for a Menu,$$ - $$$
27,Richard's Sub World and Deli,"US Route 9, Bayville, NJ 08721-1216",NJ,39.9098567,-74.154848,American,5,43,Have been going to Richards Sub World over 25 years. Love all his subs . You won’t be disappointed. My favorite is the tuna subs and the worlds best . I also enjoy all of the club subs.,+1 732-269-9871,https://www.tripadvisor.com//Restaurant_Review-g46291-d3225020-Reviews-Richard_s_Sub_World_and_Deli-Bayville_New_Jersey.html,http://richardssubworldanddeli.weebly.com/menu.html,$
28,Peck Peck Chicken,"250 Degraw Ave, Teaneck, NJ 07666-3206",NJ,40.8751442,-74.0210841,,5,36,This little hole in the wall has the best tasting chicken I have ever had in my life. My wife and I tried every flavor from the chicken wings and the entrées and it was just simply delicious. Bravo and we will be back soon.,+1 201-530-5858,https://www.tripadvisor.com//Restaurant_Review-g46862-d4946509-Reviews-Peck_Peck_Chicken-Teaneck_New_Jersey.html,Check The Website for a Menu,$
29,Baladina Mediterranean Restaurant,"931 Fischer Blvd, Toms River, NJ 08753-3834",NJ,39.9770259,-74.1375757,Mediterranean,5,27,"I was very pleased with the atmosphere, the food and the staff. Went with my family for dinner everything was perfect 
Great staff ( thank u Mesho ) amazing food 
I also booked a table for valentines days they have 2 couple for 60$ 😍",+1 848-224-4847,https://www.tripadvisor.com//Restaurant_Review-g46870-d15534142-Reviews-Baladina_Mediterranean_Restaurant-Toms_River_New_Jersey.html,http://Www.baladinarestaurant.com/menu,$$ - $$$
30,Gyro Grill,"783 Hamburg Turnpike, Wayne, NJ 07470-8416",NJ,40.955934,-74.2248367,Mediterranean,5,25,"Shlomo is the nicest Man!!! He is the owner and he always personally greets me and knows my order, Chicken kebab with spicy rise no salad. I just tried the hummus this past week, it is much better than the store bought stuff. The portions...More",+1 862-221-9242,https://www.tripadvisor.com//Restaurant_Review-g46905-d12613676-Reviews-Gyro_Grill-Wayne_New_Jersey.html,Check The Website for a Menu,$
31,Creperie de la Mer,"126 N Bay Ave, Beach Haven, Long Beach Island, NJ 08008-1816",NJ,39.5645594,-74.2397357,Cafe,5,24,"My wife and I usually visit LBI every summer and we never pass up the chance to eat at this magnificent cafe. Thw crepes are delicious. Whether you get sweet or savory, they never disappoint. The family that runs it is always friendly and warm....More",+1 609-709-7444,https://www.tripadvisor.com//Restaurant_Review-g46292-d12705586-Reviews-Creperie_de_la_Mer-Beach_Haven_Long_Beach_Island_New_Jersey.html,Check The Website for a Menu,$$ - $$$
32,Mangia Toscano,"422 Main St, Metuchen, NJ 08840-1834",NJ,40.5421412,-74.3615194,Italian,5,21,My husband and I recently moved from Florence Italy to NJ recently and finding this restaurant was like finding a corner of home. The chef Alberto is a young italian talent from some of the best restaurants in Florence and NYC. His french wife and...More,+1 732-744-0100,https://www.tripadvisor.com//Restaurant_Review-g46616-d11923378-Reviews-Mangia_Toscano-Metuchen_New_Jersey.html,https://www.mangia-toscano.com/menus/#dinner,$$ - $$$
33,Zaytouna Mediterranean Grill,"13 Village Ln, Freehold, NJ 07728-1541",NJ,40.2758971,-74.2329942,Mediterranean,5,15,"The food was really good. If you are looking for a healthy meal just go there. The place is clean and the team are so friendly! 
Highly recommended!",+1 732-490-7755,https://www.tripadvisor.com//Restaurant_Review-g46453-d11725721-Reviews-Zaytouna_Mediterranean_Grill-Freehold_New_Jersey.html,https://www.zaytounagrill.com/cateringmenu,$
34,Aurora Ristorante,"429 Piaget Ave, Clifton, NJ 07011-3000",NJ,40.878749,-74.15343,Italian,5,13,"So glad a friend told us about Aurora, Clifton's best gem! Very extensive menu for such a small restaurant. It's BYOB, which is great! Domenico, Lorenzo and Cristina are all excellent servers. The Veal Osso Bucco, the octupus, pasta, etc. are all delicious, as well...More",+1 973-772-2914,https://www.tripadvisor.com//Restaurant_Review-g46365-d14799668-Reviews-Aurora_Ristorante-Clifton_New_Jersey.html,Check The Website for a Menu,$$ - $$$
35,Carmine's Italian Restaurant - Atlantic City,"2801 Pacific Ave, Atlantic City, NJ 08401-6347",NJ,39.3539088,-74.4457116,Italian,4.5,"1,762","Great dinner experience but pompous manager experience afterwards. Went for dinner on a Tuesday, when departing from our hotel on Thursday we realized we may have left our credit card behind. Before heading home, we decided to stop by to retrieve it. Upon arrival we...More",+1 609-572-9300,https://www.tripadvisor.com//Restaurant_Review-g29750-d617002-Reviews-Carmine_s_Italian_Restaurant_Atlantic_City-Atlantic_City_New_Jersey.html,Check The Website for a Menu,$$ - $$$
36,White House Sub Shop,"2301 Arctic Ave, Atlantic City, NJ 08401-4001",NJ,39.3591696,-74.4406438,American,4.5,"1,669",Had a breakfast sub from here that was fantastic! Quite big! Two people could definitely share one. It was made fresh with real ingredients. Loved all the choices.,+1 609-345-1564,https://www.tripadvisor.com//Restaurant_Review-g29750-d459195-Reviews-White_House_Sub_Shop-Atlantic_City_New_Jersey.html,Check The Website for a Menu,$
37,Dock's Oyster House,"2405 Atlantic Ave, Atlantic City, NJ 08401-6630",NJ,39.3571379,-74.4410446,American,4.5,"1,599",Dock’s Oyster House is a MUST restaurant for dining in AC ! With Valentine’s Day on a Friday night the 123 year old family owned establishment was HOPPING. The valet service took care of our parking. Chris and Demetrius took care of us so fine...More,+1 609-345-0092,https://www.tripadvisor.com//Restaurant_Review-g29750-d491036-Reviews-Dock_s_Oyster_House-Atlantic_City_New_Jersey.html,Check The Website for a Menu,$$$$
38,Erini Restaurant,"1140 River Rd, Ewing, NJ 08628-2106",NJ,40.2726908,-74.8506153,American,4.5,"1,215","Just enjoyed lunch with friends. Food was delicious, nice selection and atmosphere was comfortable & relaxing. Our server, George was the best - so pleasant & attentive. We’ll surely be back.",+1 609-882-0303,https://www.tripadvisor.com//Restaurant_Review-g46428-d1315844-Reviews-Erini_Restaurant-Ewing_New_Jersey.html,Check The Website for a Menu,$$ - $$$
39,Capriccio,"1133 Boardwalk, Atlantic City, NJ 08401-7329",NJ,39.3585983,-74.4220598,Italian,4.5,"1,026",We had dinner at Capriccio's and the meal was delicious and not too expensive for a nice restaurant. The Staff was very professional and wanted to make our experience enjoyable. I'm looking forward to going back there soon.,+1 609-340-6789,https://www.tripadvisor.com//Restaurant_Review-g29750-d523117-Reviews-Capriccio-Atlantic_City_New_Jersey.html,https://resortsac.com/wp-content/uploads/2019/10/2019-10-capriccio-menu.pdf,$$$$
40,Harold's New York Deli Restaurant,"3050 Woodbridge Ave, Edison, NJ 08837-3460",NJ,40.5227544,-74.3364773,American,4.5,"1,021",Overpriced overrated bland tasting food. If you like land food this is the place. Outdated place to eat. The meats they serve have no flavor. Brisket was a 1 on scale of 10. Onions ordered were a 1 on scale of 10. I saw a...More,+1 732-661-9100,https://www.tripadvisor.com//Restaurant_Review-g46410-d1381081-Reviews-Harold_s_New_York_Deli_Restaurant-Edison_New_Jersey.html,http://haroldsfamousdeli.com,$$ - $$$
41,Swan Market,"231 Parsells Ave, Rochester, NY 14609-5203",NY,43.1655103,-77.5726212,German,5,300,"It's the best German meat market, restaurant, and beer garden on this side of the Atlantic. Need I say more?",+1 585-288-5320,https://www.tripadvisor.com//Restaurant_Review-g48503-d1895635-Reviews-Swan_Market-Rochester_Finger_Lakes_New_York.html,Check The Website for a Menu,$$ - $$$
42,Apizza Regionale,"260 W Genesee St, Syracuse, NY 13202-1020",NY,43.0520864,-76.1547105,Italian,5,223,Decided to try this place out because dinosaur Bar-B-Que was an hour wait. We were not disappointed. We walked right in our waitress was extremely friendly. I had the brussels sprout appetizer for my dinner and my husband had the short rib pasta and he...More,+1 315-802-2607,https://www.tripadvisor.com//Restaurant_Review-g48713-d10165915-Reviews-Apizza_Regionale-Syracuse_Finger_Lakes_New_York.html,https://www.apizzaregionale.com/menus,$$ - $$$
43,Louie & Ernie's Pizza,"1300 Crosby Ave, Bronx, NY 10461-6000",NY,40.838259,-73.8286389,Italian,5,184,My husband and I always stop in to pick up a slice or two when running our weekend errands. Love their pizza,+1 718-829-6230,https://www.tripadvisor.com//Restaurant_Review-g47369-d914281-Reviews-Louie_Ernie_s_Pizza-Bronx_New_York.html,Check The Website for a Menu,$
44,"Diana of Little Chef, Little Kitchen","Not Specified, New York City, NY",NY,40.7127753,-74.0059728,Dine With a Local Chef,5,105,This restaurant was recommended by our host in NY...and I'm glad we went...Diana is just fantastic and food was prepared with such care. Tasty and plenty. Will come back again when in NY.,Not Available,https://www.tripadvisor.com//Restaurant_Review-g60763-d11752088-Reviews-Diana_of_Little_Chef_Little_Kitchen-New_York_City_New_York.html,Check The Website for a Menu,$$ - $$$
45,Malcolm's,"617 Union St, Schenectady, NY 12305-1502",NY,42.8161083,-73.9363265,American,5,47,"Nice lunch, cozy space a bit chilly the day we sat in but great service and food.
Would definitely return to try something else.",+1 518-344-4599,https://www.tripadvisor.com//Restaurant_Review-g48572-d13807716-Reviews-Malcolm_s-Schenectady_New_York.html,http://malcolmsrestaurant.com#foodmenu,$$ - $$$
46,Nelsons Cafe,"2298 River Rd, Niagara Falls, NY 14304-3712",NY,43.066659,-78.9237413,American,5,41,"Small hometown restaurant wirh great food and service. Serving breakfast, lunch and Friday dinners. Everything is made from scratch. The Omelettes and pancakes are the best.Very clean and friendly.",+1 716-694-0444,https://www.tripadvisor.com//Restaurant_Review-g48261-d10083110-Reviews-Nelsons_Cafe-Niagara_Falls_New_York.html,Check The Website for a Menu,$
47,Margherita Pizza Incorporated,"16304 Jamaica Ave, Jamaica, NY 11432-4912",NY,40.7045847,-73.7967325,Pizza,5,37,"I stopped by at this neighborhood joint for 2 quick slices. Great pizza. Not quite NY style, but some may even prefer it.",+1 718-657-5780,https://www.tripadvisor.com//Restaurant_Review-g47962-d871107-Reviews-Margherita_Pizza_Incorporated-Jamaica_Queens_New_York.html,Check The Website for a Menu,$
48,Rock Burger,"328 Niagara St, Niagara Falls, NY 14303-1141",NY,43.088709,-79.0580836,American,5,37,By far the best burger I have ever had! Shopping trip to buffalo met with friends and they said let's introduce you to the best burger ever! They were not kidding. A must try for everyone! Have fun picking a bigger though it's hard they...More,+1 716-436-1102,https://www.tripadvisor.com//Restaurant_Review-g48261-d12670653-Reviews-Rock_Burger-Niagara_Falls_New_York.html,Check The Website for a Menu,$
49,Addictive Wine & Tapas Bar,"8701 Northern Blvd, Jackson Heights, NY 11372-1671",NY,40.7562612,-73.8806173,Spanish,5,25,"Excellent Service and good wine,food it's good. Thanks.👍I will recommend this place to friends And family's.",+1 347-832-0951,https://www.tripadvisor.com//Restaurant_Review-g47960-d11925618-Reviews-Addictive_Wine_Tapas_Bar-Jackson_Heights_Queens_New_York.html,http://www.addictivewinebar.com/tapas,$$ - $$$
50,A Touch of Naples Pizza & Pasta,"389 Violet Ave, Poughkeepsie, NY 12601-1054",NY,41.7387655,-73.9099342,Italian,5,22,This is a family operated gem. They make the best pizza in the entire region. You would probably have to go to White Plains or Albany to find pizza that could even come close. You are not doing yourself any favors if you get your...More,+1 845-473-5744,https://www.tripadvisor.com//Restaurant_Review-g48443-d4654515-Reviews-A_Touch_of_Naples_Pizza_Pasta-Poughkeepsie_New_York.html,Check The Website for a Menu,$
51,Bean's & Lager,"3301 36th Ave, Long Island City, NY 11106-1941",NY,40.7558518,-73.9278648,American,5,12,Nothing Special. Visiting from out of town and did a review search for local restaurants. Burgers were good but service was lousy. Made an open table reservation during non busy times and expected much better service. Non attentive servers who couldn’t even remember who ordered...More,+1 718-392-5777,https://www.tripadvisor.com//Restaurant_Review-g48080-d13353616-Reviews-Bean_s_Lager-Long_Island_City_Queens_New_York.html,Check The Website for a Menu,$$ - $$$
52,Very Juice,"422 Avenue P, Brooklyn, NY 11223-1935",NY,40.6087917,-73.9717637,,5,1,"I travel a lot but couldn’t find better Peanut Butter açaí anywhere else. Must have items: Creamy Green Smoothie, Cashew Cheese or Pesto Panini. I mean food is always great here. This review comes from real paying customer.",+1 718-676-9400,https://www.tripadvisor.com//Restaurant_Review-g60827-d15175217-Reviews-Very_Juice-Brooklyn_New_York.html,Check The Website for a Menu,Not Specified
53,The River Cafe,"1 Water St, Brooklyn, NY 11201-1335",NY,40.7038447,-73.994803,American,4.5,"4,055","This is one of those iconic restaurants you see in movies. The view is a showstopper and the restaurant itself is beautiful. We came here right after getting engaged and it definitely wowed us. The service is efficient, courteous, and personal even though they turn...More",+1 718-522-5200,https://www.tripadvisor.com//Restaurant_Review-g60827-d482173-Reviews-The_River_Cafe-Brooklyn_New_York.html,https://rivercafe.com/menus/,$$$$
54,Club A Steakhouse,"240 E 58th Street, New York City, NY 10022-2001",NY,40.7600574,-73.9655842,American,4.5,"3,978",Excellent filet mignon& beautiful ambiance. The service was great and dessert was a delicious. I would definitely return.,+1 212-688-4190,https://www.tripadvisor.com//Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,$$$$
55,Le Bernardin,"155 W 51st St, New York City, NY 10019-6019",NY,40.7615691,-73.9818048,French,4.5,"3,444","Had the Valentine’s tasting menu and the overall experience was amazing but not flawless.

Made reservation at 2:00. Got there ~1:55 and we have to stand awkwardly for ~20 min in a tiny space next to a bar watching other guests eating in the bar...More",+1 212-554-1515,https://www.tripadvisor.com//Restaurant_Review-g60763-d424434-Reviews-Le_Bernardin-New_York_City_New_York.html,Check The Website for a Menu,$$$$
56,Daniel,"60 East 65th Street, New York City, NY 10065-7056",NY,40.7667727,-73.9676284,French,4.5,"3,274","Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food is amazing.",212 288 0033,https://www.tripadvisor.com//Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html,Check The Website for a Menu,$$$$
57,Juliana's Pizza,"19 Old Fulton St, Brooklyn, NY 11201-1322",NY,40.7027359,-73.9934479,Pizza,4.5,"3,095","Went here for dinner after walking across the Brooklyn Bridge. We thought the pizza was excellent. We had to wait a bit for a table but it was worth it. And once we ordered, the food came fast. My son got the spaghetti and meatballs...More",+1 718-596-6700,https://www.tripadvisor.com//Restaurant_Review-g60827-d3741802-Reviews-Juliana_s_Pizza-Brooklyn_New_York.html,http://julianaspizza.com/menus/,$$ - $$$
58,K Rico Steakhouse,"772 9th Ave, New York City, NY 10019-6327",NY,40.7643586,-73.9879915,American,4.5,"3,083",Really enjoyed our meal here. Steak was delicious. Biggest baked potato I’ve ever seen. Lots of different dips and owner was really nice. Introduced himself and had a chat,+1 212-757-9393,https://www.tripadvisor.com//Restaurant_Review-g60763-d7617787-Reviews-K_Rico_Steakhouse-New_York_City_New_York.html,Check The Website for a Menu,$$ - $$$
59,Dinosaur Bar-B-Que,"246 W Willow St, Syracuse, NY 13202",NY,43.0526872,-76.1545978,American,4.5,"2,676",We walked in ff the street and were seated right away. The smell of hardwood smoke was prominent. The decor is rustic.I had the ribs and wings combo with mac and cheese and cole slaw. My wife had brisket sandwich with fries. All of the...More,+1 315-476-4937,https://www.tripadvisor.com//Restaurant_Review-g48713-d421559-Reviews-Dinosaur_Bar_B_Que-Syracuse_Finger_Lakes_New_York.html,Check The Website for a Menu,$$ - $$$
60,Piccola Cucina Osteria,"196 Spring St, New York City, NY 10012-3621",NY,40.7250308,-74.0032774,Italian,4.5,"2,617","Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious. Our dinner was an all around excellent experience and it’s easy to see...More",+1 646-478-7488,https://www.tripadvisor.com//Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,$$ - $$$
61,rise n°3,"5135 Monahans Ave, Fort Worth, TX 76109-1577",TX,32.7101687,-97.3986824,French,5,231,"We enjoyed a low-key, relaxed evening. Interesting interior helped set a laid-back mood. A Champagne offering by the glass is something I appreciate and the Champagne flight was a nice surprise. The menu offers some interesting savory soufflé options. My smoked salmon was delicious but...More",+1 817-737-7473,https://www.tripadvisor.com//Restaurant_Review-g55857-d12936782-Reviews-Rise_n_3-Fort_Worth_Texas.html,https://risesouffle.com/menu,$$ - $$$
62,Main Street Deli,"520 Main St Unit A, Garland, TX 75040-6321",TX,32.9124743,-96.6371102,American,5,134,Food was very good and service was second to none. Very friendly owners who cater to the customers very well. I will be going back very soon.,+1 972-276-5959,https://www.tripadvisor.com//Restaurant_Review-g55884-d4046092-Reviews-Main_Street_Deli-Garland_Texas.html,http://www.garlanddeli.com/main-street-deli-menu,$
63,Breakers Korean Grill & Barbecue,"8320 State Highway 121, Frisco, TX 75034-8554",TX,33.0951754,-96.8129107,Barbecue,5,104,We loved our dinner here to celebrate a birthday. Our teenage kids loved the interactive nature and being able to cook their own meat.,+1 972-469-4800,https://www.tripadvisor.com//Restaurant_Review-g55870-d14030479-Reviews-Breakers_Korean_Grill_Barbecue-Frisco_Texas.html,http://FT-FRONT100EA.pdfFT-BACK100EA.pdf,$$ - $$$
64,Palenque Grill IH-35,"4615 San Bernardo Ave, Laredo, TX 78041-5719",TX,27.5431559,-99.5037846,Seafood,5,70,"The food is amazing, the service impeccable, such a great atmosphere. Ray was our server and let me tell you he went above and beyond to make it a great experience. Definitely recommend! The service was incredible, I was impressed on how fast they food...More",+1 956-701-3576,https://www.tripadvisor.com//Restaurant_Review-g56137-d10673691-Reviews-Palenque_Grill_IH_35-Laredo_Texas.html,https://palenquegrill.com/menu/,$$ - $$$
65,Jasper's Bar B Que,"105 Clifton St, Waco, TX 76704-2303",TX,31.573359,-97.1177825,Barbecue,5,45,"Jaspers is in a unique neighborhood and we hesitated a minute before we decided to be adventurous. We are so glad we stopped. The people were super friendly and the food was delicious and plentiful. We split a three meat plate with brisket, sausage, and...More",+1 254-732-0899,https://www.tripadvisor.com//Restaurant_Review-g56833-d3368920-Reviews-Jasper_s_Bar_B_Que-Waco_Texas.html,http://www.jaspersbarbecue.com/menu.html,$$ - $$$
66,SwitcHouse Plates & Pours,"1200 Lake Plaza Dr, Spring, TX 77389-1862",TX,30.0983768,-95.4406421,Bar,5,45,"Daniel and Amy were friendly, knowledgeable, and fantastic bartenders. Definitely recommend a visit to this hotel and bar.",+1 281-350-4000,https://www.tripadvisor.com//Restaurant_Review-g56701-d15638963-Reviews-SwitcHouse_Plates_Pours-Spring_Texas.html,Check The Website for a Menu,$$ - $$$
