Name,Street Address,Location,Address,Latitude,Longitude,Type 1,Type 2,Type 3,Reviews,Out of 5,No of Reviews,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
Big Island Poke,235 Rainier Ave S,"Renton, WA 98057-2002","235 Rainier Ave S, Renton, WA 98057-2002",47.481395,-122.2177302,Asian,Hawaiian,Seafood,5 of 5 bubbles,5,19 reviews,19,"While traveling on business I was craving poke and this place had solid reviews. Fish was fresh and the flavors blended well...without the extra sauces that some poke places overdo. Fast, fresh, and very filling. Plus, they offer solo beer and other drinks if you...More",+1 425-291-7094,https://www.tripadvisor.com//Restaurant_Review-g58704-d10262959-Reviews-Big_Island_Poke-Renton_Washington.html,Check The Website for a Menu,$
Hanabi Sushi Restaurant,31260 Pacific Hwy S Ste 12,"Federal Way, WA 98003-5448","31260 Pacific Hwy S Ste 12, Federal Way, WA 98003-5448",47.3208109,-122.3118252,Japanese,Sushi,Asian,5 of 5 bubbles,5,21 reviews,21,"We came here on a recommendation and the fact that I was craving sushi. All I can say is that the food was spectacular and the service even better. 

The folks that work here are so amazing...they bring extra stuff that is just as amazing...More",+1 253-941-0797,https://www.tripadvisor.com//Restaurant_Review-g58471-d901938-Reviews-Hanabi_Sushi_Restaurant-Federal_Way_Washington.html,http://www.hanabi-sushi.com/menus/index.html,$$ - $$$
Mangia Toscano,422 Main St,"Metuchen, NJ 08840-1834","422 Main St, Metuchen, NJ 08840-1834",40.5421412,-74.3615194,Italian,,,5 of 5 bubbles,5,21 reviews,21,My husband and I recently moved from Florence Italy to NJ recently and finding this restaurant was like finding a corner of home. The chef Alberto is a young italian talent from some of the best restaurants in Florence and NYC. His french wife and...More,+1 732-744-0100,https://www.tripadvisor.com//Restaurant_Review-g46616-d11923378-Reviews-Mangia_Toscano-Metuchen_New_Jersey.html,https://www.mangia-toscano.com/menus/#dinner,$$ - $$$
A Touch of Naples Pizza & Pasta,389 Violet Ave,"Poughkeepsie, NY 12601-1054","389 Violet Ave, Poughkeepsie, NY 12601-1054",41.7387655,-73.9099342,Italian,Pizza,,5 of 5 bubbles,5,22 reviews,22,This is a family operated gem. They make the best pizza in the entire region. You would probably have to go to White Plains or Albany to find pizza that could even come close. You are not doing yourself any favors if you get your...More,+1 845-473-5744,https://www.tripadvisor.com//Restaurant_Review-g48443-d4654515-Reviews-A_Touch_of_Naples_Pizza_Pasta-Poughkeepsie_New_York.html,Check The Website for a Menu,$
Frisco Diner,9250 Dallas Pkwy,"Frisco, TX 75033-4262","9250 Dallas Pkwy, Frisco, TX 75033-4262",33.1545347,-96.8394603,Diner,Cafe,Vegetarian Friendly,5 of 5 bubbles,5,23 reviews,23,Great food. Like an old town diner but in a brand new storefront. I had a great omelette and she had a delicious waffle.,+1 214-618-0652,https://www.tripadvisor.com//Restaurant_Review-g55870-d12788029-Reviews-Frisco_Diner-Frisco_Texas.html,Check The Website for a Menu,$$ - $$$
Addictive Wine & Tapas Bar,8701 Northern Blvd,"Jackson Heights, NY 11372-1671","8701 Northern Blvd, Jackson Heights, NY 11372-1671",40.7562612,-73.8806173,Spanish,Wine Bar,Vegetarian Friendly,5 of 5 bubbles,5,25 reviews,25,"Excellent Service and good wine,food it's good. Thanks.👍I will recommend this place to friends And family's.",+1 347-832-0951,https://www.tripadvisor.com//Restaurant_Review-g47960-d11925618-Reviews-Addictive_Wine_Tapas_Bar-Jackson_Heights_Queens_New_York.html,http://www.addictivewinebar.com/tapas,$$ - $$$
Gyro Grill,783 Hamburg Turnpike,"Wayne, NJ 07470-8416","783 Hamburg Turnpike, Wayne, NJ 07470-8416",40.955934,-74.2248367,Mediterranean,Middle Eastern,Vegetarian Friendly,5 of 5 bubbles,5,25 reviews,25,"Shlomo is the nicest Man!!! He is the owner and he always personally greets me and knows my order, Chicken kebab with spicy rise no salad. I just tried the hummus this past week, it is much better than the store bought stuff. The portions...More",+1 862-221-9242,https://www.tripadvisor.com//Restaurant_Review-g46905-d12613676-Reviews-Gyro_Grill-Wayne_New_Jersey.html,Check The Website for a Menu,$
Baladina Mediterranean Restaurant,931 Fischer Blvd,"Toms River, NJ 08753-3834","931 Fischer Blvd, Toms River, NJ 08753-3834",39.9770259,-74.1375757,Mediterranean,Turkish,Middle Eastern,5 of 5 bubbles,5,27 reviews,27,"I was very pleased with the atmosphere, the food and the staff. Went with my family for dinner everything was perfect 
Great staff ( thank u Mesho ) amazing food 
I also booked a table for valentines days they have 2 couple for 60$ 😍",+1 848-224-4847,https://www.tripadvisor.com//Restaurant_Review-g46870-d15534142-Reviews-Baladina_Mediterranean_Restaurant-Toms_River_New_Jersey.html,http://Www.baladinarestaurant.com/menu,$$ - $$$
Peck Peck Chicken,250 Degraw Ave,"Teaneck, NJ 07666-3206","250 Degraw Ave, Teaneck, NJ 07666-3206",40.8751442,-74.0210841,,,,5 of 5 bubbles,5,36 reviews,36,This little hole in the wall has the best tasting chicken I have ever had in my life. My wife and I tried every flavor from the chicken wings and the entrées and it was just simply delicious. Bravo and we will be back soon.,+1 201-530-5858,https://www.tripadvisor.com//Restaurant_Review-g46862-d4946509-Reviews-Peck_Peck_Chicken-Teaneck_New_Jersey.html,Check The Website for a Menu,$
Margherita Pizza Incorporated,16304 Jamaica Ave,"Jamaica, NY 11432-4912","16304 Jamaica Ave, Jamaica, NY 11432-4912",40.7045847,-73.7967325,Pizza,Fast Food,Italian,5 of 5 bubbles,5,37 reviews,37,"I stopped by at this neighborhood joint for 2 quick slices. Great pizza. Not quite NY style, but some may even prefer it.",+1 718-657-5780,https://www.tripadvisor.com//Restaurant_Review-g47962-d871107-Reviews-Margherita_Pizza_Incorporated-Jamaica_Queens_New_York.html,Check The Website for a Menu,$
Rock Burger,328 Niagara St,"Niagara Falls, NY 14303-1141","328 Niagara St, Niagara Falls, NY 14303-1141",43.088709,-79.0580836,American,Bar,Pub,5 of 5 bubbles,5,37 reviews,37,By far the best burger I have ever had! Shopping trip to buffalo met with friends and they said let's introduce you to the best burger ever! They were not kidding. A must try for everyone! Have fun picking a bigger though it's hard they...More,+1 716-436-1102,https://www.tripadvisor.com//Restaurant_Review-g48261-d12670653-Reviews-Rock_Burger-Niagara_Falls_New_York.html,Check The Website for a Menu,$
Tabernilla,7124 Bob Bullock Loop,"Laredo, TX 78041-2080","7124 Bob Bullock Loop, Laredo, TX 78041-2080",27.5603522,-99.4450005,Spanish,Mediterranean,Wine Bar,5 of 5 bubbles,5,39 reviews,39,"Unique tapas menu - NOT a Mexican restaurant! My waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

Everything I ordered was de-lish!

Classy, relaxing ambiance.",+1 956-523-0989,https://www.tripadvisor.com//Restaurant_Review-g56137-d9996191-Reviews-Tabernilla-Laredo_Texas.html,http://www.tabernillalaredo.com#menu,$$ - $$$
La Cocina De Roberto,3126 Sawdust Rd,"Spring, TX 77380-2602","3126 Sawdust Rd, Spring, TX 77380-2602",30.1330711,-95.4879747,Mexican,Latin,Vegetarian Friendly,5 of 5 bubbles,5,41 reviews,41,"Had a craving for some good Nachos and found this cafe in a small strip mall with a gas station.
It didn’t disappoint, the flavors were great, portion enough for two, and the owner very graciously performing the duties of the host.
It was Saturday...More",+1 832-299-6706,https://www.tripadvisor.com//Restaurant_Review-g56701-d12242547-Reviews-La_Cocina_De_Roberto-Spring_Texas.html,http://lacocinaderoberto.net/menu/,$
Nelsons Cafe,2298 River Rd,"Niagara Falls, NY 14304-3712","2298 River Rd, Niagara Falls, NY 14304-3712",43.066659,-78.9237413,American,Cafe,Diner,5 of 5 bubbles,5,41 reviews,41,"Small hometown restaurant wirh great food and service. Serving breakfast, lunch and Friday dinners. Everything is made from scratch. The Omelettes and pancakes are the best.Very clean and friendly.",+1 716-694-0444,https://www.tripadvisor.com//Restaurant_Review-g48261-d10083110-Reviews-Nelsons_Cafe-Niagara_Falls_New_York.html,Check The Website for a Menu,$
5.Ate Cafe,403 E Louetta Rd,"Spring, TX 77373-3248","403 E Louetta Rd, Spring, TX 77373-3248",30.0697047,-95.4290185,Pizza,American,Cafe,5 of 5 bubbles,5,42 reviews,42,Great handburgers with home made bun. Loved it. Duaghter took me for Fathers Day. Ranked one of the best burers in state and it did not disappoint. Get to watch rock climbers while you eat a burger and fries!!!,+1 281-516-5283,https://www.tripadvisor.com//Restaurant_Review-g56701-d7206752-Reviews-5_Ate_Cafe-Spring_Texas.html,https://www.5atecafe.com/menu,$
Richard's Sub World and Deli,US Route 9,"Bayville, NJ 08721-1216","US Route 9, Bayville, NJ 08721-1216",39.9098567,-74.154848,American,Deli,Vegetarian Friendly,5 of 5 bubbles,5,43 reviews,43,Have been going to Richards Sub World over 25 years. Love all his subs . You won’t be disappointed. My favorite is the tuna subs and the worlds best . I also enjoy all of the club subs.,+1 732-269-9871,https://www.tripadvisor.com//Restaurant_Review-g46291-d3225020-Reviews-Richard_s_Sub_World_and_Deli-Bayville_New_Jersey.html,http://richardssubworldanddeli.weebly.com/menu.html,$
HiroNori Craft Ramen,2222 Michelson Dr,"Irvine, CA 92612-1332","2222 Michelson Dr, Irvine, CA 92612-1332",33.6765454,-117.8558343,Japanese,Asian,Vegetarian Friendly,5 of 5 bubbles,5,45 reviews,45,,+1 949-536-5800,https://www.tripadvisor.com//Restaurant_Review-g32530-d12841414-Reviews-HiroNori_Craft_Ramen-Irvine_California.html,Check The Website for a Menu,$$ - $$$
Jasper's Bar B Que,105 Clifton St,"Waco, TX 76704-2303","105 Clifton St, Waco, TX 76704-2303",31.573359,-97.1177825,Barbecue,American,,5 of 5 bubbles,5,45 reviews,45,"Jaspers is in a unique neighborhood and we hesitated a minute before we decided to be adventurous. We are so glad we stopped. The people were super friendly and the food was delicious and plentiful. We split a three meat plate with brisket, sausage, and...More",+1 254-732-0899,https://www.tripadvisor.com//Restaurant_Review-g56833-d3368920-Reviews-Jasper_s_Bar_B_Que-Waco_Texas.html,http://www.jaspersbarbecue.com/menu.html,$$ - $$$
SwitcHouse Plates & Pours,1200 Lake Plaza Dr,"Spring, TX 77389-1862","1200 Lake Plaza Dr, Spring, TX 77389-1862",30.0983768,-95.4406421,Bar,Pub,Vegetarian Friendly,5 of 5 bubbles,5,45 reviews,45,"Daniel and Amy were friendly, knowledgeable, and fantastic bartenders. Definitely recommend a visit to this hotel and bar.",+1 281-350-4000,https://www.tripadvisor.com//Restaurant_Review-g56701-d15638963-Reviews-SwitcHouse_Plates_Pours-Spring_Texas.html,Check The Website for a Menu,$$ - $$$
Malcolm's,617 Union St,"Schenectady, NY 12305-1502","617 Union St, Schenectady, NY 12305-1502",42.8161083,-73.9363265,American,Vegetarian Friendly,Vegan Options,5 of 5 bubbles,5,47 reviews,47,"Nice lunch, cozy space a bit chilly the day we sat in but great service and food.
Would definitely return to try something else.",+1 518-344-4599,https://www.tripadvisor.com//Restaurant_Review-g48572-d13807716-Reviews-Malcolm_s-Schenectady_New_York.html,http://malcolmsrestaurant.com#foodmenu,$$ - $$$
Kenko Sushi,200 Main St,"Lincoln Park, NJ 07035-3701","200 Main St, Lincoln Park, NJ 07035-3701",40.9229958,-74.3054275,Japanese,Sushi,Asian,5 of 5 bubbles,5,55 reviews,55,This is the absolute best place for sushi. You won't be sorry. Everything is delicious and they give you free dessert. It is amazing!,+1 973-633-5498,https://www.tripadvisor.com//Restaurant_Review-g46569-d7376541-Reviews-Kenko_Sushi-Lincoln_Park_Morris_County_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Two Fish BYOB,26 S. Haddon Ave.,"Haddonfield, NJ 08033-1860","26 S. Haddon Ave., Haddonfield, NJ 08033-1860",39.8973879,-75.0309616,American,Seafood,,5 of 5 bubbles,5,56 reviews,56,"Chef Michael continues to serve outstanding meals that are professionally served in a wonderful environment. He constantly impresses my wife and me with his combinations of spices, herbs and textures that enhance his beautifully presented seafood dishes. The octopus appetizer we had this past Friday...More",+1 856-428-3474,https://www.tripadvisor.com//Restaurant_Review-g46483-d11652382-Reviews-Two_Fish_BYOB-Haddonfield_New_Jersey.html,http://www.twofishbyob.com/menu,$$ - $$$
Citron European Bistro,10716 A St S,"Tacoma, WA 98444-6003","10716 A St S, Tacoma, WA 98444-6003",47.1595252,-122.4320579,French,European,German,5 of 5 bubbles,5,58 reviews,58,I hate to tell anyone about this great place for fear I will no longer be able to get a last mnute table! Authentic wiener schnitzel and other french dishes. It's a husband and wife team. The husband cooks some amazing dishes. Good wine to...More,+1 253-212-1153,https://www.tripadvisor.com//Restaurant_Review-g58775-d10307466-Reviews-Citron_European_Bistro-Tacoma_Washington.html,Check The Website for a Menu,$$ - $$$
Thai Kitchen,621 S Pines Rd,"Spokane Valley, WA 99206-5449","621 S Pines Rd, Spokane Valley, WA 99206-5449",47.6508911,-117.2394722,Thai,Asian,Vegetarian Friendly,5 of 5 bubbles,5,60 reviews,60,Stopped here because we were int he valley and hungry. So glad we did. The curry is amazing. The food is amazing and unlike most Thai restaurants it did not take a hour to get our food so that made it even better. Enjoy!!!,+1 509-926-8161,https://www.tripadvisor.com//Restaurant_Review-g1784998-d1507136-Reviews-Thai_Kitchen-Spokane_Valley_Washington.html,Check The Website for a Menu,$$ - $$$
Palenque Grill IH-35,4615 San Bernardo Ave,"Laredo, TX 78041-5719","4615 San Bernardo Ave, Laredo, TX 78041-5719",27.5431559,-99.5037846,Seafood,Vegetarian Friendly,,5 of 5 bubbles,5,70 reviews,70,"The food is amazing, the service impeccable, such a great atmosphere. Ray was our server and let me tell you he went above and beyond to make it a great experience. Definitely recommend! The service was incredible, I was impressed on how fast they food...More",+1 956-701-3576,https://www.tripadvisor.com//Restaurant_Review-g56137-d10673691-Reviews-Palenque_Grill_IH_35-Laredo_Texas.html,https://palenquegrill.com/menu/,$$ - $$$
Aarzu Modern Indian Bistro,30 E Main St,"Freehold, NJ 07728-2202","30 E Main St, Freehold, NJ 07728-2202",40.2607138,-74.2726992,Indian,Vegetarian Friendly,Vegan Options,5 of 5 bubbles,5,76 reviews,76,Visited this restaurant for my wife’s birthday dinner. The food was delicious and the service was exceptional. Great BYOB. We shared everything we ordered. Some of the best Indian cuisine in NJ.,+1 732-333-0933,https://www.tripadvisor.com//Restaurant_Review-g46453-d10671580-Reviews-Aarzu_Modern_Indian_Bistro-Freehold_New_Jersey.html,Check The Website for a Menu,$$ - $$$
La Fiamma,440 Harrison Ave,"Harrison, NJ 07029-1781","440 Harrison Ave, Harrison, NJ 07029-1781",40.7470212,-74.1542966,Italian,Vegetarian Friendly,,5 of 5 bubbles,5,79 reviews,79,This place is not just an Italian Restaurant with red sauce this place has it going on. Everything is prepared with love. The salmon al Fiamma is GREAT! A beautiful mustard cream sauce no over powering hardly taste any mustard but just a wonderful flavor...More,+1 973-483-5455,https://www.tripadvisor.com//Restaurant_Review-g46494-d4915859-Reviews-La_Fiamma-Harrison_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Breakers Korean Grill & Barbecue,8320 State Highway 121,"Frisco, TX 75034-8554","8320 State Highway 121, Frisco, TX 75034-8554",33.0951754,-96.8129107,Barbecue,Asian,Korean,5 of 5 bubbles,5,104 reviews,104,We loved our dinner here to celebrate a birthday. Our teenage kids loved the interactive nature and being able to cook their own meat.,+1 972-469-4800,https://www.tripadvisor.com//Restaurant_Review-g55870-d14030479-Reviews-Breakers_Korean_Grill_Barbecue-Frisco_Texas.html,http://FT-FRONT100EA.pdfFT-BACK100EA.pdf,$$ - $$$
"Diana of Little Chef, Little Kitchen",Not Specified,"New York City, NY","Not Specified, New York City, NY",40.7127753,-74.0059728,Dine With a Local Chef,Italian,American,5 of 5 bubbles,5,105 reviews,105,This restaurant was recommended by our host in NY...and I'm glad we went...Diana is just fantastic and food was prepared with such care. Tasty and plenty. Will come back again when in NY.,Not Available,https://www.tripadvisor.com//Restaurant_Review-g60763-d11752088-Reviews-Diana_of_Little_Chef_Little_Kitchen-New_York_City_New_York.html,Check The Website for a Menu,$$ - $$$
Bistango Martini Lounge,108 N Post St,"Spokane, WA 99201-0907","108 N Post St, Spokane, WA 99201-0907",47.6582884,-117.4232409,Bar,American,,5 of 5 bubbles,5,111 reviews,111,Celebrated recovery of lost luggage. Followed TA reviews to this martini bar early evening. Friendly staff but short handed. Atmosphere convivial but austere. Burgers ok but condiments limited.More,+1 509-624-8464,https://www.tripadvisor.com//Restaurant_Review-g58759-d2320863-Reviews-Bistango_Martini_Lounge-Spokane_Washington.html,Check The Website for a Menu,$$ - $$$
Cordi's Italian Gourmet,2140 Route 88 East,"Brick, NJ 08724","2140 Route 88 East, Brick, NJ 08724",40.0771248,-74.1007339,Italian,Vegetarian Friendly,Vegan Options,5 of 5 bubbles,5,131 reviews,131,"Cute byob that doesn't know how to use a wine key or how to pour wine. Odd. Food is basic Italian but with a higher price point. If I am paying 42 for an entree then open my wine properly, use a crumber between courses....More",+1 732-892-6734,https://www.tripadvisor.com//Restaurant_Review-g46321-d12050861-Reviews-Cordi_s_Italian_Gourmet-Brick_New_Jersey.html,https://www.cordisitaliangourmet.com/cordis-italian-gourmet-menu,$$ - $$$
Main Street Deli,520 Main St Unit A,"Garland, TX 75040-6321","520 Main St Unit A, Garland, TX 75040-6321",32.9124743,-96.6371102,American,Vegetarian Friendly,Vegan Options,5 of 5 bubbles,5,134 reviews,134,Food was very good and service was second to none. Very friendly owners who cater to the customers very well. I will be going back very soon.,+1 972-276-5959,https://www.tripadvisor.com//Restaurant_Review-g55884-d4046092-Reviews-Main_Street_Deli-Garland_Texas.html,http://www.garlanddeli.com/main-street-deli-menu,$
Fiore Deli of Hoboken,414 Adams St,"Hoboken, NJ 07030-2693","414 Adams St, Hoboken, NJ 07030-2693",40.743017,-74.0362361,Italian,Deli,,5 of 5 bubbles,5,158 reviews,158,"Special road trip just to eat here and they certainly lived up to all the hype. Mozzarella was none other than amazing. Guys behind the counter were fun, friendly and certainly made us feel welcome from our of town. Loved the food. Be sure to...More",+1 201-659-1655,https://www.tripadvisor.com//Restaurant_Review-g46515-d873710-Reviews-Fiore_Deli_of_Hoboken-Hoboken_New_Jersey.html,Check The Website for a Menu,$
n/naka,3455 Overland Ave,"Los Angeles, CA 90034-5419","3455 Overland Ave, Los Angeles, CA 90034-5419",34.025128,-118.4122067,Japanese,Sushi,Asian,5 of 5 bubbles,5,165 reviews,165,,+1 310-836-6252,https://www.tripadvisor.com//Restaurant_Review-g32655-d3701882-Reviews-N_naka-Los_Angeles_California.html,http://www.n-naka.com/menus,$$$$
Louie & Ernie's Pizza,1300 Crosby Ave,"Bronx, NY 10461-6000","1300 Crosby Ave, Bronx, NY 10461-6000",40.838259,-73.8286389,Italian,Pizza,Vegetarian Friendly,5 of 5 bubbles,5,184 reviews,184,My husband and I always stop in to pick up a slice or two when running our weekend errands. Love their pizza,+1 718-829-6230,https://www.tripadvisor.com//Restaurant_Review-g47369-d914281-Reviews-Louie_Ernie_s_Pizza-Bronx_New_York.html,Check The Website for a Menu,$
Bistro San Martin,231 N Olympic Ave,"Arlington, WA 98223-1336","231 N Olympic Ave, Arlington, WA 98223-1336",48.1946073,-122.1261051,American,International,Vegetarian Friendly,5 of 5 bubbles,5,185 reviews,185,"We were given a gift certificate to this restaurant as a Christmas gift. We went out to their web site to get a little more information but it didn't have a lot of information there other that the menu items. Last night, we decided to...More",+1 360-474-9229,https://www.tripadvisor.com//Restaurant_Review-g30272-d1072949-Reviews-Bistro_San_Martin-Arlington_Washington.html,Check The Website for a Menu,$$$$
Olive Branch Cafe,2501 E D St,"Tacoma, WA 98421-1338","2501 E D St, Tacoma, WA 98421-1338",47.239564,-122.428391,American,Cafe,Soups,5 of 5 bubbles,5,191 reviews,191,Had a lunchtime tea party here with my wife. Lots of yummy sweets and a nice variety of teas in the tea closet. Would return. Ambiance was opulent and comfortable.,+1 253-330-6511,https://www.tripadvisor.com//Restaurant_Review-g58775-d4815267-Reviews-Olive_Branch_Cafe-Tacoma_Washington.html,Check The Website for a Menu,$$ - $$$
Mediterranean Grill & Cafe,1031 U St,"Fresno, CA 93721-1419","1031 U St, Fresno, CA 93721-1419",36.7420684,-119.7796339,Lebanese,Mediterranean,Greek,5 of 5 bubbles,5,216 reviews,216,,+1 559-441-7050,https://www.tripadvisor.com//Restaurant_Review-g32414-d1236081-Reviews-Mediterranean_Grill_Cafe-Fresno_California.html,Check The Website for a Menu,$$ - $$$
Apizza Regionale,260 W Genesee St,"Syracuse, NY 13202-1020","260 W Genesee St, Syracuse, NY 13202-1020",43.0520864,-76.1547105,Italian,Pizza,Vegetarian Friendly,5 of 5 bubbles,5,223 reviews,223,Decided to try this place out because dinosaur Bar-B-Que was an hour wait. We were not disappointed. We walked right in our waitress was extremely friendly. I had the brussels sprout appetizer for my dinner and my husband had the short rib pasta and he...More,+1 315-802-2607,https://www.tripadvisor.com//Restaurant_Review-g48713-d10165915-Reviews-Apizza_Regionale-Syracuse_Finger_Lakes_New_York.html,https://www.apizzaregionale.com/menus,$$ - $$$
